customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,avg_login_count_30,active_days_30,avg_feature_usage_30,avg_session_minutes_30,support_tickets_count_30,avg_resolution_hours_30,avg_login_count_90,active_days_90,avg_feature_usage_90,usage_change_30d,login_change_30d,days_since_last_activity
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,12.3,30,29.933333333333334,103.68,1,0.196,12.188888888888888,90,29.88888888888889,0.0014869888475836,0.0091157702825889,0
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,11.933333333333334,30,29.933333333333334,100.72833333333332,0,0.0,12.27777777777778,90,30.77777777777778,-0.0274368231046931,-0.0280542986425339,0
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,4.766666666666667,30,12.8,43.577666666666666,1,0.8286666666666667,6.422222222222223,90,17.177777777777777,-0.2548512289780077,-0.2577854671280277,0
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,16.633333333333333,30,27.23333333333333,90.573,0,0.0,17.011111111111113,90,27.744444444444444,-0.0184221065278333,-0.0222077073807969,0
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1.7333333333333334,30,6.533333333333333,22.529666666666667,1,2.303333333333333,2.4444444444444446,90,8.866666666666667,-0.2631578947368421,-0.2909090909090909,0
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,10.833333333333334,30,35.666666666666664,121.901,1,0.5383333333333333,11.077777777777778,90,36.55555555555556,-0.0243161094224925,-0.0220661985957872,0
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,10.6,30,36.43333333333333,127.991,1,0.679,10.755555555555556,90,36.8,-0.009963768115942,-0.0144628099173554,0
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,14.5,30,31.83333333333333,107.88533333333334,0,0.0,14.455555555555556,90,31.64444444444445,0.0059691011235954,0.0030745580322828,0
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,4.166666666666667,30,12.6,42.593,1,1.0793333333333337,5.466666666666667,90,16.11111111111111,-0.2179310344827586,-0.2378048780487804,0
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,13.633333333333333,30,27.73333333333333,98.00933333333334,1,0.4006666666666666,13.3,90,27.05555555555556,0.0250513347022587,0.0250626566416039,0
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,10.733333333333333,30,28.466666666666665,96.31666666666666,1,0.289,11.3,90,29.91111111111111,-0.0482912332838039,-0.0501474926253688,0
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,10.6,30,23.6,84.615,1,1.2583333333333333,10.6,90,23.75555555555556,-0.0065481758652946,0.0,0
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,12.633333333333333,30,34.2,122.86333333333332,1,1.1086666666666667,13.422222222222222,90,36.3,-0.0578512396694213,-0.0587748344370861,0
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,5.533333333333333,30,14.9,49.30766666666667,1,1.243,7.2444444444444445,90,19.27777777777778,-0.2270893371757925,-0.2361963190184049,0
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,10.733333333333333,30,32.56666666666667,108.329,1,1.407,10.966666666666669,90,33.15555555555556,-0.0177613941018766,-0.0212765957446809,0
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,14.066666666666666,30,48.5,165.19866666666667,1,1.88,14.2,90,49.03333333333333,-0.0108769544527531,-0.0093896713615023,0
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,9.233333333333333,30,20.3,66.17099999999999,0,0.0,9.566666666666666,90,20.977777777777774,-0.0323093220338982,-0.0348432055749129,0
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,11.533333333333331,30,36.06666666666667,128.20433333333332,2,4.527666666666666,11.77777777777778,90,36.68888888888889,-0.0169594185342216,-0.0207547169811321,0
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,8.666666666666666,30,21.666666666666668,80.53333333333333,1,1.358,9.11111111111111,90,22.75555555555556,-0.0478515624999999,-0.048780487804878,0
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,12.233333333333333,30,40.3,137.68400000000003,0,0.0,12.644444444444444,90,41.81111111111111,-0.0361413765612543,-0.0325131810193321,0
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,7.633333333333334,30,18.1,63.65566666666667,1,0.8783333333333334,7.888888888888889,90,18.7,-0.032085561497326,-0.0323943661971831,0
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,10.866666666666667,30,28.466666666666665,99.479,1,0.629,11.066666666666666,90,29.011111111111116,-0.0187667560321717,-0.0180722891566264,0
