customer_id,avg_login_count_30,active_days_30,avg_feature_usage_30,avg_session_minutes_30,support_tickets_count_30,avg_resolution_hours_30,avg_login_count_90,active_days_90,avg_feature_usage_90,usage_change_30d,login_change_30d,days_since_last_activity
0002-ORFBO,15.1,30,30.333333333333332,110.77166666666668,2,1.338,15.166666666666666,90,30.566666666666666,-0.007633587786259573,-0.00439560439560438,0
0003-MKNFE,11.466666666666667,30,20.666666666666668,77.18633333333334,1,2.3743333333333334,11.366666666666667,90,20.522222222222222,0.0070384407146725034,0.00879765395894425,0
0004-TLHLJ,2.6666666666666665,30,7.333333333333333,23.719333333333335,2,3.1166666666666667,3.6444444444444444,90,9.944444444444445,-0.2625698324022347,-0.2682926829268293,0
0011-IGKFF,8.266666666666667,30,26.2,89.93066666666667,1,0.31333333333333335,8.344444444444445,90,26.433333333333334,-0.008827238335435092,-0.009320905459387449,0
0013-EXCHZ,10.366666666666667,30,37.36666666666667,135.15066666666667,0,0.0,10.755555555555556,90,38.6,-0.03195164075993094,-0.03615702479338846,0
0013-MHZWF,10.5,30,24.6,84.72033333333334,2,2.7126666666666663,10.588888888888889,90,24.666666666666668,-0.002702702702702693,-0.00839454354669462,0
0013-SMEOE,5.1,30,15.833333333333334,52.62,3,2.4006666666666665,5.122222222222222,90,15.71111111111111,0.007779349363507865,-0.004338394793926233,0
0014-BMAQU,15.3,30,41.0,157.28066666666666,0,0.0,15.166666666666666,90,40.644444444444446,0.008747949699289197,0.008791208791208878,0
0015-UOCOJ,8.833333333333334,30,25.2,88.04866666666666,1,1.2073333333333334,9.1,90,25.9,-0.027027027027027,-0.0293040293040292,0
0016-QLJIS,11.766666666666667,30,28.633333333333333,97.91900000000001,0,0.0,12.088888888888889,90,29.433333333333334,-0.0271800679501699,-0.026654411764705788,0
0017-DINOC,5.3,30,11.8,39.57166666666667,2,0.8856666666666667,5.444444444444445,90,12.033333333333333,-0.019390581717451456,-0.026530612244898027,0
0017-IUDMW,13.533333333333333,30,40.53333333333333,143.97833333333335,3,3.569,13.922222222222222,90,41.611111111111114,-0.0259012016021363,-0.027932960893854778,0
0018-NYROU,10.333333333333334,30,24.733333333333334,87.28266666666667,2,4.618333333333334,10.566666666666666,90,25.288888888888888,-0.021968365553602733,-0.022082018927444717,0
0019-EFAEP,13.666666666666666,30,42.3,136.02733333333333,1,0.112,14.277777777777779,90,44.12222222222222,-0.041299420800805856,-0.04280155642023356,0
0019-GFNTW,15.1,30,32.03333333333333,113.88033333333333,2,3.9230000000000005,15.811111111111112,90,33.53333333333333,-0.04473161033797217,-0.04497540407589606,0
0020-INWCK,15.966666666666667,30,38.333333333333336,142.13766666666666,3,2.445,16.41111111111111,90,39.2,-0.022108843537414977,-0.027081922816519985,0
0020-JDNXP,13.966666666666667,30,37.8,142.07666666666668,0,0.0,14.322222222222223,90,38.666666666666664,-0.02241379310344829,-0.024825446082234325,0
0021-IKXGC,14.3,30,40.03333333333333,132.376,0,0.0,14.022222222222222,90,39.522222222222226,0.012932246274950664,0.01980982567353413,0
0022-TCJCI,4.666666666666667,30,11.633333333333333,39.44266666666667,1,0.09633333333333334,6.0777777777777775,90,14.777777777777779,-0.21278195488721813,-0.23217550274223026,0
0023-HGHWL,3.8,30,8.033333333333333,29.132333333333335,0,0.0,5.222222222222222,90,10.766666666666667,-0.2538699690402477,-0.27234042553191495,0
0023-UYUPN,8.133333333333333,30,23.133333333333333,76.087,0,0.0,8.411111111111111,90,23.9,-0.032078103207810287,-0.03302509907529732,0
0023-XUOPT,12.833333333333334,30,33.56666666666667,119.85733333333334,0,0.0,12.911111111111111,90,33.63333333333333,-0.0019821605550048426,-0.006024096385542147,0
0027-KWYKW,9.833333333333334,30,31.366666666666667,105.799,1,1.602,10.044444444444444,90,32.355555555555554,-0.03056318681318676,-0.021017699115044173,0
0030-FNXPP,14.333333333333334,30,27.4,93.631,0,0.0,14.955555555555556,90,28.544444444444444,-0.04009342156481126,-0.0416047548291233,0
0031-PVLZI,3.966666666666667,30,10.833333333333334,39.379,2,3.476,5.211111111111111,90,13.977777777777778,-0.22496025437201905,-0.23880597014925373,0
0032-PGELS,4.033333333333333,30,11.566666666666666,39.333333333333336,1,1.4233333333333333,5.433333333333334,90,15.366666666666667,-0.24728850325379614,-0.2576687116564418,0
0036-IHMOT,13.3,30,43.0,151.59133333333332,0,0.0,13.78888888888889,90,44.43333333333333,-0.03225806451612896,-0.035455278001611606,0
0040-HALCW,14.233333333333333,30,30.466666666666665,102.04666666666667,0,0.0,14.877777777777778,90,31.7,-0.038906414300736096,-0.04331590739357738,0
0042-JVWOJ,5.4,30,12.333333333333334,42.808,1,2.2329999999999997,5.933333333333334,90,13.322222222222223,-0.07422852376980817,-0.08988764044943817,0
0042-RLHYP,13.566666666666666,30,24.466666666666665,81.21166666666666,0,0.0,13.366666666666667,90,24.31111111111111,0.006398537477148058,0.014962593516209422,0
0048-LUMLS,6.066666666666666,30,18.533333333333335,68.51333333333334,0,0.0,5.988888888888889,90,18.333333333333332,0.010909090909091064,0.012987012987012941,0
